"IntentContract","IntentEmail","Manip01","Manip02","Manip03","PriceQuality","PsychOwn01","PsychOwn02","PsychOwn03","PsychOwn04","GWA01","GWA02","GWA03","GWA04","CFC01","CFC02","CFC03","CFC04","CFC05","CFC06","CFC07","CFC08","CFC09","CFC10","CFC11","CFC12","CFC13","CFC14","BVO01","BVO02","BVO03","BVO04","Secure01","Secure02","Secure03","Secure04","Privacy01","Privacy02","Privacy03","Privacy04","BikeOwn","BikeShare","BikeStolen","CarLicense","CarAccess","BikeFreq","BikePurpose","BikeDuration","TravelMode","Travel01","Travel02","Travel03","dGender","YrBirth","dIBA","SatFac","HrPWork","HrVWork","HrClass","HrStud","cLiving","cLocate","dPreMas","dSports","dFraternity","dAssoc","dAbroad","Control01","Control02","Control03","SurveyDifficult","SurveyMotive","SurveyLike","SurveyBoring","SurveyClear"
98,98,2,1,1,2.9047619047619,2,1,2,7,1,2,1,2,2,3,3,4,4,2,5,3,4,2,3,3,5,4,4,4,5,4,4,5,5,2,3,5,3,2,1,1,1,1,1,4,4,20,1,4,3,5,2,1999,1,80,2,0,4,50,3,2,2,1,2,2,2,1,1,2,2,2,2,1,2
39,61,1,2,3,1,7,7,7,1,1,3,4,3,4,5,2,2,2,4,5,2,1,1,4,2,5,4,6,5,5,5,2,5,2,1,2,1,2,2,1,2,2,1,2,3,3,30,2,-1,-1,1,2,1996,1,82,10,0,12,10,2,1,2,2,2,2,2,2,1,3,2,2,2,1,1
25,31,3,2,3,51,2,2,2,7,1,2,2,3,3,1,3,2,3,3,3,4,2,3,3,3,4,2,3,3,5,2,1,4,4,3,4,4,4,4,1,1,2,1,1,2,1,25,2,0,-3,2,2,1999,1,76,2,0,20,15,3,2,2,1,2,2,2,3,1,3,2,1,2,2,1
73,82,1,1,3,5.54545454545455,2,2,2,4,2,1,2,1,2,3,4,2,4,2,4,2,2,4,3,3,4,2,4,3,3,2,4,4,4,2,2,4,2,2,1,2,2,1,1,3,3,20,2,-3,1,0,2,1999,1,60,16,0,16,15,5,2,2,1,2,2,2,1,1,3,2,1,1,2,1
70,50,1,1,3,1.24390243902439,3,3,2,5,1,1,3,2,3,2,4,4,2,4,4,2,3,3,4,2,3,3,3,3,4,2,3,4,3,2,NA,2,3,4,1,2,1,2,2,4,3,30,2,-3,5,5,1,1998,1,76,0,0,15,50,4,2,2,2,2,2,2,1,1,3,2,2,2,1,1
40,70,2,2,2,3.72727272727273,4,3,4,5,1,1,3,1,4,2,1,2,4,3,4,3,2,2,2,4,4,3,5,5,5,5,4,5,3,3,2,2,2,2,1,2,2,1,1,5,2,10,2,0,3,3,2,1998,1,78,12,0,16,10,2,1,2,1,2,2,2,3,2,2,2,1,2,1,1
50,72,1,1,3,3.38095238095238,2,3,2,6,2,2,3,2,4,4,1,2,4,4,4,4,1,1,1,2,4,4,5,5,4,3,2,4,3,1,4,4,4,4,1,2,2,2,2,1,3,15,2,-5,2,2,2,1998,1,81,0,0,4,45,3,4,2,2,2,2,2,1,1,3,2,2,1,2,1
2,5,1,2,2,2.9047619047619,2,3,2,6,2,1,2,1,4,3,2,3,3,5,4,3,2,1,2,2,4,4,5,4,5,3,2,5,4,1,1,3,3,2,1,2,1,1,1,2,2,10,2,2,5,3,2,1998,1,75,12,0,12,30,3,3,2,2,2,2,2,1,2,2,2,2,2,2,1
5,0,3,1,2,0.411764705882353,2,1,1,6,1,2,3,4,4,2,2,1,4,3,5,4,1,3,2,4,4,4,3,3,3,2,2,5,5,1,2,2,2,2,1,2,2,1,1,4,4,20,2,2,-3,5,1,1999,1,90,8,0,10,10,3,3,2,1,2,2,2,3,1,2,2,1,1,2,1
83,32,3,2,3,1,4,4,3,4,1,3,3,2,4,3,2,3,4,4,4,3,2,2,3,3,4,3,4,3,4,4,2,3,2,1,4,4,4,4,1,2,2,1,1,2,1,30,2,0,2,0,2,1999,1,66,21,0,15,30,3,2,2,1,2,2,2,2,2,3,2,2,2,1,1
0,0,1,2,1,2.9047619047619,2,3,2,7,3,2,3,3,3,2,2,2,5,1,4,2,2,3,4,4,4,2,4,4,4,4,3,5,3,2,3,3,3,3,1,2,2,1,1,2,1,15,2,0,0,5,2,1999,1,70,12,0,4,20,3,2,2,1,2,2,1,1,1,1,2,2,2,1,1
75,80,2,2,3,1.3125,1,2,1,7,2,3,3,2,3,2,4,4,5,2,4,3,3,4,4,4,3,3,4,4,5,5,3,4,2,1,2,2,3,2,1,2,1,1,1,3,1,30,2,4,0,2,1,1997,1,80,20,0,10,5,3,2,2,1,2,2,2,2,2,3,1,1,1,2,1
10,20,3,1,1,1.95238095238095,1,1,1,7,3,2,2,2,4,3,1,2,2,4,3,4,1,2,2,3,4,4,4,4,4,3,2,4,1,1,5,5,5,5,1,2,1,1,1,2,2,5,1,3,0,3,1,1997,1,73,26,0,2,4,3,1,2,2,2,2,2,3,1,1,2,2,2,2,1
8,2,3,2,1,1.95238095238095,3,1,4,3,1,2,2,3,4,4,2,1,3,1,4,3,2,1,4,4,4,3,4,4,5,3,4,4,4,2,3,4,3,3,1,1,2,1,1,2,1,30,4,-3,4,3,2,1999,1,73,10,0,10,5,1,1,2,1,1,1,2,1,2,2,2,1,2,1,2
75,88,2,2,2,21,2,5,3,5,2,1,1,3,4,2,2,3,3,3,4,3,3,3,3,3,4,3,5,4,3,2,3,4,4,3,2,3,2,2,1,1,2,1,1,2,1,20,4,4,-3,1,2,1998,1,81,0,0,8,15,1,1,2,1,1,2,1,2,2,2,2,2,2,1,1
67,77,1,1,2,1.27777777777778,2,3,2,6,2,2,3,3,4,2,2,2,3,3,4,4,4,3,2,3,5,4,4,3,4,4,4,4,3,2,2,1,2,1,1,1,2,1,1,2,1,15,2,4,-2,-2,1,1999,1,74,10,0,14,20,3,4,2,1,2,2,2,5,1,2,2,2,1,2,1
23,60,1,2,3,1.55555555555556,1,1,1,7,2,2,2,3,4,3,2,2,3,4,4,4,3,2,2,3,4,4,5,5,5,5,4,4,5,3,4,2,4,2,1,2,1,1,2,2,2,15,2,-3,-4,-2,1,1997,1,70,0,0,8,4,3,1,2,1,2,2,2,1,1,3,2,1,1,2,1
20,81,3,2,2,7.625,3,3,3,5,4,2,4,2,4,3,2,2,4,3,4,4,2,2,2,3,4,4,5,5,4,4,2,4,3,1,2,2,2,2,1,2,2,1,2,3,1,10,4,-2,2,2,2,1999,1,70,6,0,5,30,1,1,2,1,2,2,2,3,2,2,2,1,1,2,1
0,0,1,2,2,1.96774193548387,1,2,1,7,2,3,1,3,4,4,1,1,2,4,4,5,1,2,2,3,5,4,5,5,5,4,3,4,5,2,1,2,1,1,1,2,2,1,1,2,1,15,2,-3,0,3,1,1999,1,85,0,8,14,35,3,3,2,1,2,2,2,1,2,2,2,1,2,1,1
40,0,1,2,3,3.38095238095238,1,2,1,7,2,3,4,4,5,4,1,2,4,3,5,3,1,1,2,3,4,5,4,4,6,5,4,5,5,2,4,2,4,4,1,2,1,1,1,2,1,20,4,-1,-2,5,2,1997,2,71,0,0,12,40,2,2,2,2,2,2,1,1,2,3,2,1,1,1,1
80,10,3,2,1,1,1,1,1,7,2,2,1,1,2,3,3,2,4,3,4,3,2,2,4,3,4,4,4,4,4,3,1,5,2,1,3,3,3,3,1,2,2,1,1,2,2,10,4,-2,-1,-1,1,1996,1,75,20,1,5,2,2,1,2,1,1,2,1,3,2,1,2,1,1,2,2
84,100,2,2,3,1.19230769230769,2,2,2,6,1,4,4,2,4,4,2,2,4,3,5,4,1,2,2,2,4,4,6,5,5,5,2,4,3,2,1,2,1,1,1,2,1,2,2,2,1,15,2,2,-3,-1,2,1997,1,70,10,0,3,10,1,3,2,2,1,2,1,2,1,3,2,1,1,2,2
1,1,3,1,2,1.23809523809524,1,1,6,7,4,2,2,3,4,2,2,2,3,4,4,3,1,3,2,2,4,5,5,6,5,4,4,5,2,3,2,3,2,4,1,2,2,2,1,3,1,15,2,-3,-1,-2,2,1993,1,71,0,0,12,20,2,1,2,1,1,2,2,3,1,2,2,1,2,1,1
0,0,1,2,3,1,1,2,1,7,2,3,3,3,5,3,1,1,3,4,4,4,2,2,2,3,5,4,3,3,4,4,2,3,2,2,2,2,2,2,1,1,2,1,1,2,1,30,4,3,0,1,1,1993,1,61,16,0,10,16,2,1,1,1,2,2,1,3,1,3,2,2,2,2,2
100,1,2,1,1,1.9375,2,2,2,6,1,1,1,2,2,2,2,2,4,2,4,4,2,4,3,4,2,2,4,4,4,3,2,4,2,2,2,2,2,2,1,2,2,1,2,3,2,10,2,2,2,2,1,1998,1,80,8,0,9,10,3,4,2,1,2,2,2,2,1,3,2,1,1,2,1
90,60,2,1,2,3.5,1,1,1,7,1,2,1,3,4,3,2,4,4,3,4,3,2,2,2,3,4,4,5,5,5,5,4,5,4,3,2,3,2,2,1,2,2,1,1,3,4,0,5,3,-4,-2,1,1985,1,70,27,4,10,20,4,3,2,1,2,1,1,2,1,2,2,1,1,2,1
75,50,1,1,1,0.509803921568627,2,2,4,6,2,2,2,3,4,4,2,1,3,3,4,3,1,2,3,2,4,2,5,5,5,3,2,4,2,2,2,2,2,2,1,2,1,1,1,3,2,30,2,0,3,2,1,1998,1,80,14,0,12,12,3,3,2,1,2,2,2,1,1,2,2,2,2,1,1
40,64,3,2,2,0.51219512195122,2,3,3,6,1,2,2,2,4,4,2,2,1,1,5,3,2,2,4,3,3,3,5,4,5,2,1,2,1,1,3,1,1,3,1,2,1,2,1,3,3,10,2,2,-2,-2,1,1998,1,85,12,2,10,4,3,3,2,1,2,2,2,3,1,2,2,2,2,1,1
10,30,3,2,3,2.9047619047619,2,4,3,6,4,2,4,3,4,4,3,3,4,4,5,3,2,2,2,2,4,4,5,5,5,5,2,4,3,2,1,1,1,1,1,2,2,1,1,5,4,15,2,3,-1,1,2,1998,1,66,10,0,14,20,3,4,2,2,2,1,2,3,1,3,2,1,1,2,1
40,60,3,1,3,2.81818181818182,2,2,2,2,3,2,1,3,4,2,1,2,3,4,4,2,4,2,1,2,4,2,5,5,5,3,2,5,4,1,4,4,5,5,1,2,1,2,1,3,3,20,2,-1,-2,2,1,1999,1,81,12,1,4,4,4,1,2,1,1,2,2,3,1,3,2,2,1,2,2
77,83,2,1,3,1,4,4,5,3,2,3,3,3,4,3,3,3,3,3,4,3,4,4,3,3,4,4,5,5,5,4,3,4,4,4,2,2,2,2,1,2,2,1,2,2,1,5,4,3,2,2,2,1999,1,62,5,0,4,10,1,4,2,1,1,1,2,2,1,2,1,2,2,1,1
19,50,3,1,3,2.66666666666667,2,3,2,7,1,2,2,1,3,2,2,3,4,3,4,2,1,2,3,2,4,4,5,4,4,3,2,5,4,1,2,3,1,2,1,2,1,1,1,2,1,10,2,2,3,5,1,1998,1,71,8,0,6,12,3,3,2,1,2,2,2,3,1,3,2,1,2,1,1
70,90,1,2,3,3.38095238095238,3,3,2,6,2,2,3,3,4,3,2,1,4,5,4,4,2,2,2,5,5,4,4,4,3,3,2,5,4,2,1,2,2,1,1,1,2,1,1,2,1,10,2,-2,3,2,2,1999,1,40,6,3,8,40,3,4,2,1,2,2,2,2,1,3,2,1,2,1,1
30,81,1,1,2,2.42857142857143,2,2,2,6,1,2,1,2,4,2,2,2,4,2,4,2,2,2,2,3,4,4,4,3,4,3,4,4,2,2,4,2,2,2,1,2,2,1,1,2,1,10,4,5,-2,3,2,1997,1,66,0,0,40,30,2,1,2,1,1,2,2,1,1,2,2,1,1,1,1
69,17,2,1,1,2.25,4,2,5,3,2,1,3,2,4,2,2,2,5,4,4,3,3,3,3,4,4,4,4,5,5,4,4,5,5,3,1,2,2,2,2,2,2,1,1,5,5,15,2,2,3,4,2,1999,1,70,9,3,10,10,3,4,2,2,1,2,2,2,1,3,2,1,2,1,2
65,75,2,2,3,4.4375,1,3,2,3,1,2,1,3,5,3,2,2,3,4,5,4,1,2,3,2,4,5,4,4,4,3,4,5,5,2,3,4,3,3,1,1,2,1,2,2,1,20,4,2,-3,4,1,1999,1,75,16,0,10,10,1,2,2,1,1,2,2,2,2,3,2,1,2,1,1
60,73,2,1,3,3.72727272727273,3,3,3,5,1,1,1,1,3,4,2,3,3,4,4,4,2,2,4,3,5,5,3,4,5,3,3,3,5,1,3,2,3,2,1,2,2,1,1,2,1,30,4,-1,-3,3,1,1998,1,60,0,12,10,10,1,3,2,1,1,2,2,2,1,3,2,1,1,2,1
30,51,2,1,1,6,4,4,4,4,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,4,2,4,3,3,3,3,3,3,2,2,2,1,1,1,1,5,2,-1,5,5,1,1999,1,61,30,0,4,5,3,1,2,1,2,2,2,2,1,2,2,2,2,1,1
9,70,3,2,3,4.63636363636364,2,3,2,6,1,3,3,3,3,3,3,4,3,2,3,4,3,4,2,4,3,3,5,5,2,3,2,3,2,2,3,2,4,4,1,2,1,2,1,2,1,15,4,2,-2,-3,1,1994,1,71,20,0,12,20,4,1,2,1,1,1,2,3,2,3,2,1,2,1,1
82,0,2,1,3,0.0140845070422535,1,1,1,7,2,4,3,4,4,4,1,2,2,4,4,3,2,4,2,3,4,3,5,5,6,4,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,30,4,-2,-4,-3,2,1994,2,81,10,8,20,20,1,1,1,1,2,2,1,5,1,1,1,2,1,2,2
9,19,3,2,3,2.5625,2,2,2,6,1,2,2,2,3,3,2,3,4,2,4,4,2,2,3,2,4,2,4,3,4,3,2,5,2,2,4,4,4,4,1,1,2,1,1,3,3,10,2,4,1,4,2,1998,1,63,10,0,12,5,3,2,2,1,2,1,2,3,2,3,1,1,2,1,2
81,9,2,2,1,0.444444444444444,1,2,1,7,2,3,2,3,3,2,2,1,3,2,4,3,1,2,2,3,4,4,4,4,4,4,3,5,4,1,2,5,2,3,1,2,2,1,2,4,1,30,2,-1,-3,-3,2,1999,1,70,0,0,10,20,3,2,2,2,2,2,2,2,1,1,2,1,2,2,2
29,41,3,1,3,1,2,2,2,6,2,2,2,1,4,4,2,2,4,3,4,3,2,2,2,2,4,4,5,5,5,5,3,4,4,3,4,4,4,4,1,2,2,1,1,2,1,15,2,1,0,0,1,1998,1,68,5,0,6,6,4,1,2,1,1,2,2,2,1,3,2,1,2,2,1
68,51,2,1,3,1,3,2,3,5,1,2,2,2,5,3,3,2,4,3,4,4,1,2,4,4,1,5,4,4,4,3,4,4,2,1,2,2,4,3,1,2,1,1,2,2,1,10,4,-1,2,1,2,1999,1,72,12,3,12,30,4,1,2,1,2,2,2,5,2,2,2,2,2,1,2
85,95,2,2,2,0.6875,2,2,2,6,1,1,1,2,4,4,4,4,4,4,3,4,3,4,4,3,3,4,4,3,5,5,5,4,5,4,3,2,2,4,1,2,2,1,1,3,3,10,1,-3,5,5,1,1998,1,70,16,0,20,10,3,3,2,1,2,1,2,2,1,2,2,2,2,1,2
30,49,1,2,3,1.48780487804878,1,1,1,7,2,1,1,1,4,3,1,2,4,4,4,4,1,2,1,3,4,5,6,6,4,4,4,4,4,1,2,3,2,1,1,2,1,2,2,2,1,30,4,3,-2,0,1,1999,1,70,15,0,15,30,3,1,2,2,2,2,2,2,1,3,2,2,2,1,1
30,10,2,2,3,0.523809523809524,2,3,2,5,2,2,1,4,4,2,1,2,4,4,4,4,1,2,2,3,4,4,5,4,5,5,2,5,4,4,2,2,2,2,1,2,2,1,1,3,1,20,2,2,-3,-2,2,1999,1,80,4,0,18,25,1,1,2,1,2,2,2,2,2,3,2,1,1,2,1
0,0,2,2,2,0.032258064516129,1,1,1,7,4,4,4,4,4,4,2,4,4,5,3,4,2,2,2,2,4,5,6,6,6,6,5,5,4,2,3,3,4,3,1,1,1,1,1,2,3,10,4,0,-5,-5,1,1992,1,20,20,0,8,15,5,1,1,2,2,2,1,2,2,2,2,2,1,2,1
30,42,2,1,2,6.83333333333333,2,2,1,6,1,2,3,3,4,4,3,2,3,4,4,4,2,1,2,3,4,4,5,4,3,3,2,4,2,1,1,3,2,1,1,2,2,1,1,2,1,10,4,2,-3,2,2,1999,1,72,8,20,4,20,1,1,2,1,1,2,2,5,1,2,2,1,1,2,1
60,75,2,2,3,3.27272727272727,2,2,2,6,1,2,2,3,4,3,3,3,3,2,3,3,2,2,3,3,4,4,4,3,4,4,2,4,3,2,3,4,3,2,1,2,1,1,1,2,1,30,4,3,-1,1,2,1999,1,71,8,0,6,4,2,1,2,1,1,2,2,5,1,3,2,1,1,1,1
50,50,1,1,1,0.508196721311475,5,4,4,4,2,1,1,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,4,3,4,4,4,3,3,3,4,4,1,2,2,1,1,4,3,10,2,-2,3,5,1,1996,1,75,20,0,6,10,3,4,2,2,2,2,2,1,1,2,1,1,1,2,1
50,85,2,1,2,1.32258064516129,2,1,3,5,1,1,3,2,5,4,3,3,4,2,5,4,1,3,2,2,4,2,3,5,6,4,2,5,2,1,5,5,2,5,1,2,2,1,1,4,3,15,2,-2,3,5,2,1999,1,90,20,6,16,25,3,3,2,1,2,1,2,2,1,2,2,1,2,1,1
71,82,2,1,2,21,4,3,3,4,1,2,2,1,4,4,1,1,4,5,5,5,1,2,1,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,2,2,2,1,5,3,5,2,-5,5,-5,2,1999,1,71,20,0,16,16,3,3,2,2,2,2,2,1,1,2,2,2,2,1,1
50,69,1,2,3,1.95238095238095,5,3,6,5,1,1,2,1,3,2,2,3,3,3,4,4,4,4,3,3,4,3,3,2,2,2,5,4,4,4,2,2,2,2,2,2,1,1,1,5,1,10,2,2,2,3,1,1998,1,87,20,0,10,15,2,1,2,1,2,2,1,1,2,4,2,1,1,2,1
66,100,1,1,3,5.0625,3,2,4,6,3,4,3,4,3,4,2,2,2,4,4,4,2,2,2,3,3,4,5,5,5,4,1,2,4,1,4,4,4,4,1,1,2,1,1,2,1,15,2,-3,-5,-2,2,1996,1,87,3,8,4,15,1,1,2,1,1,1,2,5,1,3,2,2,1,2,2
50,82,2,2,3,1.57692307692308,4,4,4,4,1,1,1,1,3,3,3,4,4,2,3,3,3,3,4,3,4,2,3,3,3,3,4,4,4,2,2,2,2,2,1,2,2,1,1,4,3,10,1,-2,2,5,1,1997,1,72,20,0,6,20,3,3,2,1,2,2,2,1,2,3,2,1,2,1,1
9,81,1,1,2,2.42857142857143,2,2,2,6,3,3,3,3,4,4,3,4,4,4,4,4,4,4,4,3,3,4,4,5,5,5,4,2,4,4,2,2,4,4,1,2,1,2,1,2,1,10,4,2,-2,-3,1,1997,1,75,8,0,8,28,2,1,2,1,1,2,2,1,1,2,2,1,1,2,1
60,80,2,1,2,1,1,1,1,3,1,3,3,3,4,4,2,2,4,3,4,4,1,1,2,2,4,4,5,5,5,5,4,5,4,1,2,3,3,2,1,2,1,1,2,2,1,10,2,2,0,1,2,1998,1,60,10,0,10,5,3,2,2,1,2,2,2,2,1,2,2,1,1,2,1
68,100,1,1,3,3.85714285714286,1,7,1,7,1,1,1,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,4,4,4,2,2,2,2,2,2,2,1,1,1,1,1,0,1,3,5,5,1,1996,1,0,25,0,12,6,2,1,2,1,2,2,2,1,1,3,1,2,2,1,2
70,100,3,2,3,0.516129032258065,2,2,2,6,1,1,1,3,5,3,2,2,5,5,5,5,3,3,2,1,5,5,3,3,4,2,2,4,5,1,2,3,1,1,1,2,2,1,1,2,1,7,2,2,-1,5,1,1999,1,75,5,0,10,60,3,3,2,2,2,2,2,3,2,3,2,2,2,1,2
8,5,1,1,2,4.63636363636364,3,6,3,5,1,1,1,2,4,4,3,3,3,5,4,3,2,2,3,3,5,4,5,5,5,5,2,4,3,4,2,2,2,2,2,1,1,2,1,2,1,20,4,4,-4,5,2,1998,1,86,1,0,18,50,1,1,2,1,1,1,2,1,1,2,2,1,1,1,1
80,80,1,1,3,1.76923076923077,2,2,2,6,2,2,3,3,3,4,2,3,4,3,4,4,2,2,2,2,4,2,4,4,4,4,4,5,2,2,2,2,4,3,1,1,2,1,1,3,1,10,2,3,1,2,1,1998,1,72,14,0,6,6,3,3,2,1,2,2,2,1,1,3,2,1,1,2,1
40,80,1,2,3,1.64516129032258,2,2,2,6,3,1,1,2,4,2,2,2,3,2,4,3,1,4,2,3,4,4,4,4,5,5,2,5,3,1,4,4,4,4,1,2,2,1,1,3,1,15,2,2,0,4,2,1999,1,85,8,0,12,12,3,3,2,1,2,2,2,1,2,3,2,1,1,2,1
4,2,2,2,2,0.861111111111111,1,2,1,7,2,2,2,3,5,3,2,2,3,3,4,4,2,2,2,3,5,4,4,6,4,4,4,5,5,3,1,2,1,2,1,2,1,1,1,3,2,15,2,2,3,3,1,1998,1,80,5,0,15,10,3,1,2,1,2,2,2,2,2,3,2,2,2,1,1
75,85,2,2,3,0.807692307692308,2,2,2,6,2,2,2,2,3,3,2,2,3,4,4,3,2,3,3,3,3,3,4,4,5,4,3,4,4,2,2,2,2,2,1,2,2,1,2,4,1,15,2,3,3,3,2,1998,1,90,0,0,15,15,3,3,2,2,2,2,2,2,2,3,2,1,2,1,1
10,25,1,1,3,1,2,4,3,5,1,2,3,2,4,3,2,2,3,4,4,3,2,3,2,3,4,4,4,4,4,3,3,4,3,2,3,2,2,3,1,2,2,1,1,3,3,5,2,-1,0,-1,1,1996,1,88,20,0,6,20,3,4,1,2,2,2,1,1,1,3,2,1,1,2,1
20,10,3,2,1,1,2,2,2,6,2,2,2,2,4,3,2,2,2,3,3,3,2,3,3,4,4,4,4,4,4,4,3,4,4,4,2,3,2,2,1,2,2,1,1,2,1,30,2,2,3,1,1,1997,1,82,10,0,10,20,3,4,2,1,2,2,2,3,1,1,2,2,2,2,1
83,49,1,1,1,3.1875,2,4,3,5,2,4,3,3,4,3,4,3,3,4,2,2,3,3,4,4,3,3,5,4,5,5,2,4,3,2,3,2,4,3,1,2,2,1,1,2,1,12,4,2,-2,-4,1,1998,1,69,14,2,10,15,1,3,2,1,2,1,2,1,2,2,2,1,2,1,1
60,68,2,2,1,31,2,2,2,6,2,3,4,3,4,4,2,2,4,4,5,3,2,2,2,3,5,4,5,5,5,5,4,5,4,2,1,1,2,2,2,2,2,1,2,1,5,30,3,3,-2,-2,1,1998,2,90,0,0,15,40,1,2,2,2,2,2,1,5,1,2,2,1,1,2,1
70,100,1,1,3,4.63636363636364,3,3,3,4,1,1,1,1,3,3,4,4,4,4,4,3,4,3,4,3,3,3,4,3,4,3,1,4,3,1,4,4,4,4,1,1,1,1,2,2,1,10,2,-1,3,3,1,1994,1,71,12,0,6,9,1,1,1,1,2,2,1,2,1,3,2,2,2,2,1
10,50,2,1,3,0.230769230769231,2,3,2,6,1,1,1,1,2,3,2,3,5,5,5,3,4,2,2,4,3,3,2,3,2,2,1,5,2,1,3,4,4,4,1,2,2,1,1,3,1,25,4,-3,-3,2,1,1998,1,66,0,20,20,10,4,1,2,1,2,2,2,2,1,3,1,2,2,1,1
1,61,3,1,3,3.1875,2,2,2,6,1,1,2,1,2,3,2,3,4,3,4,3,4,2,3,3,4,4,3,3,6,2,2,5,3,1,4,5,3,2,1,2,2,1,1,5,1,5,2,0,5,5,1,1998,1,55,0,0,2,5,3,2,2,2,2,2,2,3,1,3,2,2,2,1,1
19,35,1,2,3,0.509803921568627,1,2,2,6,2,2,1,3,3,3,2,3,4,4,4,4,2,2,4,4,3,3,4,4,4,4,3,4,2,2,2,3,4,2,1,2,2,2,1,2,1,20,4,3,-2,3,1,1996,1,71,10,0,10,20,3,1,2,1,2,1,1,1,2,3,2,1,1,2,1
40,30,2,2,2,1.90909090909091,3,2,1,6,1,1,1,4,5,4,2,1,3,4,2,4,2,2,2,4,4,4,4,4,4,4,2,4,4,1,2,2,2,3,1,2,2,1,2,2,1,10,4,4,5,5,1,1997,1,78,6,0,15,15,1,1,2,2,1,2,2,2,2,2,2,1,2,1,2
100,70,2,1,2,1.47619047619048,1,1,1,7,3,4,3,3,3,4,2,4,4,2,4,3,2,3,4,4,3,2,5,4,4,4,4,5,4,3,3,4,3,3,1,2,1,2,2,2,2,35,2,2,-3,-5,1,1998,1,71,15,4,13,15,3,2,2,1,2,2,2,2,2,2,2,1,1,2,1
75,15,2,2,1,1.71428571428571,2,4,3,4,3,4,3,2,4,3,2,2,4,4,3,4,2,1,2,4,4,5,5,4,4,4,2,4,2,1,4,4,4,4,1,1,2,1,2,2,1,25,2,-2,-3,-4,2,1998,1,60,0,0,8,25,3,3,2,1,2,2,2,2,1,2,2,1,1,2,1
65,80,2,2,2,2.81818181818182,1,3,1,7,3,4,2,4,5,5,2,2,4,4,5,5,1,2,2,3,5,4,6,6,5,5,2,4,3,2,2,2,1,2,1,2,1,2,2,2,1,60,4,0,-5,-5,1,1999,1,80,6,0,20,10,3,1,2,1,2,2,2,2,1,2,1,2,2,1,1
81,40,2,1,3,0.67741935483871,6,2,2,6,1,2,1,2,4,2,2,2,4,2,4,3,2,1,2,3,5,4,5,4,5,4,2,4,2,2,4,4,3,4,1,1,1,1,2,2,1,10,4,-2,-2,4,1,1998,1,40,12,0,4,20,1,4,2,1,2,1,2,2,1,3,2,2,2,1,1
100,100,2,1,3,1.64516129032258,6,6,6,2,2,3,4,4,3,4,2,3,3,4,4,4,3,4,3,2,4,4,6,6,6,4,3,3,3,2,2,4,2,2,2,1,1,1,1,2,1,20,4,-1,1,1,2,1995,1,82,15,8,3,10,1,2,2,1,1,2,2,2,1,1,1,1,2,1,2
10,0,3,1,3,3.27272727272727,2,3,2,6,1,3,2,3,3,4,3,3,4,3,4,3,4,4,4,4,3,3,3,3,3,2,3,4,2,1,2,2,2,2,1,2,2,1,1,2,1,10,2,2,-1,1,1,1999,1,72,20,0,10,10,3,3,2,1,2,2,2,3,1,3,2,2,2,2,1
76,45,2,2,1,2.81818181818182,3,2,3,3,1,1,1,1,4,4,2,2,4,3,4,4,2,2,2,4,4,4,4,4,4,5,2,5,2,1,2,2,2,2,2,2,1,1,2,1,5,0,3,-2,-2,3,2,1997,1,72,0,0,25,10,2,4,2,2,2,2,1,2,2,2,2,2,2,1,1
30,10,3,1,1,4.63636363636364,1,1,1,6,2,1,3,1,5,5,1,1,4,1,5,4,1,1,3,3,5,4,4,4,4,2,4,5,5,3,5,5,5,5,1,2,1,1,1,4,1,10,2,3,5,5,2,1998,1,85,4,0,2,20,3,2,2,1,2,2,2,3,2,3,2,1,2,2,1
75,45,2,1,1,2.81818181818182,1,2,1,6,2,2,1,4,2,2,3,3,4,4,4,3,3,2,3,3,4,3,5,5,5,3,4,5,4,2,2,2,2,2,1,2,2,1,1,2,2,10,2,-4,5,2,2,1999,1,75,12,0,4,24,3,2,2,1,2,2,2,2,1,1,2,2,1,2,1
7,8,1,1,3,1.96774193548387,2,2,2,6,2,2,3,3,4,2,2,2,4,2,2,4,2,2,2,2,4,3,5,5,5,3,2,5,4,2,1,2,2,1,1,2,1,1,1,2,1,15,4,4,-4,3,1,1997,1,75,7,0,15,4,1,1,2,1,1,2,2,2,1,3,2,1,1,2,1
80,0,3,2,1,1.9375,6,6,6,2,1,1,1,1,4,3,2,2,4,5,3,4,4,4,3,2,4,4,4,4,3,3,3,5,5,1,2,2,4,3,2,2,2,1,1,1,5,15,1,-3,5,5,1,1998,1,87,20,0,15,12,4,1,2,1,2,2,2,3,2,2,2,2,2,1,1
15,10,1,1,3,0.803921568627451,1,1,1,7,2,2,1,4,4,2,2,2,2,4,5,4,2,2,2,3,4,3,4,4,4,3,5,5,5,2,2,2,2,3,1,2,1,1,1,2,2,15,2,4,-2,0,2,1996,1,75,5,1,12,15,3,4,2,1,2,2,2,1,1,3,2,1,1,2,2
