"IntentContract","IntentEmail","Manip01","Manip02","Manip03","PriceQuality","PsychOwn01","PsychOwn02","PsychOwn03","PsychOwn04","GWA01","GWA02","GWA03","GWA04","CFC01","CFC02","CFC03","CFC04","CFC05","CFC06","CFC07","CFC08","CFC09","CFC10","CFC11","CFC12","CFC13","CFC14","BVO01","BVO02","BVO03","BVO04","Secure01","Secure02","Secure03","Secure04","Privacy01","Privacy02","Privacy03","Privacy04","BikeOwn","BikeShare","BikeStolen","CarLicense","CarAccess","BikeFreq","BikePurpose","BikeDuration","TravelMode","Travel01","Travel02","Travel03","dGender","YrBirth","dIBA","SatFac","HrPWork","HrVWork","HrClass","HrStud","cLiving","cLocate","dPreMas","dSports","dFraternity","dAssoc","dAbroad","Control01","Control02","Control03","SurveyDifficult","SurveyMotive","SurveyLike","SurveyBoring","SurveyClear"
81,30,3,2,1,2.81818181818182,2,4,2,6,2,1,1,3,3,3,4,3,5,4,3,4,3,2,3,3,3,3,4,4,4,4,2,4,4,3,2,2,2,2,1,2,2,1,1,2,1,5,4,0,-3,4,2,1999,1,78,0,0,2,20,1,2,2,1,1,2,2,3,1,3,2,1,1,2,2
70,85,2,1,3,2.42857142857143,2,3,2,7,3,2,3,2,4,3,2,2,4,3,4,3,2,2,2,4,4,4,4,3,5,4,4,5,4,3,3,4,2,2,1,2,2,1,1,4,2,20,2,4,2,3,2,1998,1,85,15,0,10,6,3,2,2,1,2,2,2,2,1,3,2,1,1,2,1
20,32,3,1,3,0.67741935483871,4,4,3,2,1,1,1,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,4,3,3,2,2,1,2,2,1,1,1,3,10,1,-2,-2,5,2,1998,1,68,20,0,3,15,3,4,2,1,2,2,2,5,1,1,2,1,1,2,1
0,0,2,1,2,1.23809523809524,6,2,5,3,1,3,2,2,3,2,1,2,4,5,4,3,1,1,4,3,3,4,4,5,5,3,3,5,4,1,3,3,2,3,2,2,1,1,1,1,4,8,6,2,2,3,1,1997,1,71,20,0,10,10,1,1,2,1,2,1,2,2,1,2,2,1,1,2,1
80,30,2,2,2,1,3,3,3,5,1,3,3,2,3,3,3,4,4,2,3,3,3,3,3,4,3,2,4,4,4,4,2,4,3,1,3,3,3,3,1,2,2,2,1,2,1,15,2,3,1,0,1,1999,1,75,12,2,10,14,3,2,2,1,2,2,2,2,2,2,1,1,1,2,1
4,3,3,1,1,0.354838709677419,5,3,5,3,3,3,4,1,3,3,2,2,4,4,4,3,2,2,2,4,3,3,5,5,4,3,3,4,2,2,3,3,3,4,1,2,1,1,2,3,2,20,2,-3,2,-1,1,1998,1,72,32,0,5,10,2,1,2,2,2,2,2,3,1,1,2,1,1,2,1
10,30,3,1,3,1.96153846153846,5,5,5,3,2,2,3,3,3,3,3,4,4,3,4,2,3,4,2,3,3,3,4,5,4,5,3,4,3,4,4,4,3,4,2,2,1,1,1,2,2,20,4,3,3,1,1,1998,1,70,9,0,6,6,4,4,2,1,2,2,2,3,1,3,1,2,1,2,1
30,2,1,2,1,0.607843137254902,1,4,1,6,1,2,3,3,2,5,4,4,4,1,4,3,4,4,4,4,2,1,3,4,4,2,1,4,2,2,4,2,4,4,1,1,1,1,1,3,2,15,2,3,0,3,1,1999,1,66,10,0,5,1,3,2,2,2,2,2,2,1,2,1,1,1,1,2,1
30,100,1,1,1,0.508196721311475,4,6,4,2,4,2,4,2,4,4,4,3,2,3,2,4,4,4,3,3,4,3,5,4,5,4,4,4,2,3,4,3,4,5,1,2,1,2,2,4,4,25,2,-3,2,0,1,1999,1,80,12,2,6,2,1,1,2,1,2,2,2,1,1,3,2,2,2,2,1
50,30,3,2,1,4.63636363636364,1,1,1,7,1,2,3,2,4,4,3,4,4,3,4,4,3,3,2,3,4,4,4,4,4,4,4,4,4,2,3,2,3,3,1,2,2,2,2,5,3,20,3,0,1,-3,1,1998,2,70,10,0,5,40,2,2,2,1,2,2,1,3,2,1,2,2,2,1,2
